,type,abstract,detail,aspect,post_nega,brand
12,assess,"Sweatshops in Indonesia, Sri Lanka and the Philippines","This 2011 report by the International Textile Garment and Leather Workers' Federation (ITGLWF) examined working conditions in 83 factories in Indonesia, Sri Lanka and the Philippines. Investigations found that widespread violations and abuses of workers' rights continue to be the norm, such as underpaying workers, long hours, forced overtime, and repression of the freedom of association. This company's brands were found to be made in one or more of the 83 factories covered in the research. [Listed under Information due to age of report]
[Source 2011][More on Workers rights]",Social, minor criticism,Abercrombie & Fitch
13,assess,Sweatshop Hall of Shame 2010,"Named in the International Labor Rights Forum's ""Sweatshop Hall of Shame 2010"", which highlights apparel and textile companies that use sweatshops in their global production. [Listed under Information due to age or report]
[Source 2010][More on Workers Rights]",Social, minor criticism,Abercrombie & Fitch
14,assess,Fur free,"This company has announced that they don't sell animal fur or are phasing in a fur-free policy.
[Source 2014][More on Animal Rights]",Animals, minor praise,Abercrombie & Fitch
15,assess,Better Work Partner,"This company is a partner of Better Work,  an initiative of the UN's International Labour Organization and the International Finance Corporation which brings diverse groups together - governments, global brands, factory owners, and unions and workers - to improve working conditions in the garment industry and make the sector more competitive.
[Source 2016][More on Multi-Stakeholder Initiatives]",Business Ethics, minor praise,Abercrombie & Fitch
16,assess,SB 657 disclosure statement,"The California Transparency in Supply Chains Act of 2010 (SB 657) requires companies operating in California to disclose their efforts to eradicate slavery and human trafficking from their direct supply chains. KnowTheChain.org has examined this company's disclosure statement and concluded that it addresses the majority of SB 657 requirements. Follow the link to see this company's disclosure statement.
[Source 2013][More on Workers Rights]",Social, information,Abercrombie & Fitch
17,assess,Cotton sourcing (As You Sow),"Responsible Sourcing Network's 2014 report Cotton Sourcing Snapshot: A Survey of Corporate Practices to End Forced Labor includes survey results and ratings of 49 companies reflecting actions they are taking to stop cotton from Uzbekistan picked with forced labor from entering their supply chains. The survey offered a maximum of 100 points across 11 indicators in the categories of Policy, Public Disclosure, Engagement, and Implementation & Auditing. Only five companies scored over 50 points, 19 companies scored under 25 points, and two companies scored zero. This company received a score of 34.
[Source 2014][More on Human Rights]",Social, information,Abercrombie & Fitch
18,assess,Responsible Shopper profile,"Green America's Responsible Shopper provides details about the corporate responsibility records of well-known companies. Follow the link to see this company's profile. [Last updated 2009]
[Source 2009]",Information,,Abercrombie & Fitch
19,assess,Project JUST profile,"Project JUST examines the manufacturing practices and ethics of fashion brands. Follow the link to see this company's profile.
[Source 2016]",Information,,Abercrombie & Fitch
20,assess,OpenSecrets.org profile,"OpenSecrets.org tracks the influence of money on U.S. politics, and how that money affects policy and citizens' lives. Follow link to see this company's record of political donations, lobbying, outside spending and more.
[Source 2014]",Information,,Abercrombie & Fitch
0,assess,Supply chain practices in China,"This company received a score of 73/100 (retrieved 13-Oct-2016) in the Corporate Information Transparency Index (CITI), a system for evaluating supply chain practices in China, particularly in regards to environmental management and water pollution. Scores are calculated using government compliance data, online monitoring data, and third-party environmental audits, as well as trends in the environmental performance of factories in the company's supply chains.
[Source 2016][More on Habitats]",Environment, Praise,Adidas
1,assess,Cotton sourcing (As You Sow),"Responsible Sourcing Network's 2014 report Cotton Sourcing Snapshot: A Survey of Corporate Practices to End Forced Labor includes survey results and ratings of 49 companies reflecting actions they are taking to stop cotton from Uzbekistan picked with forced labor from entering their supply chains. The survey offered a maximum of 100 points across 11 indicators in the categories of Policy, Public Disclosure, Engagement, and Implementation & Auditing. This company was one of only five to score over 50 points. 19 companies scored under 25 points, and two companies scored zero.
[Source 2014][More on Human Rights]",Social, Praise,Adidas
2,assess,A- grade at Behind the Barcode,"A- grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]",Social, Praise,Adidas
3,assess,81/100 in KnowTheChain Benchmark,"In 2016 KnowTheChain benchmarked 60 large global companies in the ICT, Food & Beverage, and Apparel & Footwear sectors on their efforts to address forced labour and human trafficking in their supply chains. This company received a score of 81/100.
[Source 2016][More on Workers Rights]",Social, Praise,Adidas
4,assess,Human Rights Benchmark,"The 2017 Corporate Human Rights Benchmark assessed 98 of the largest publicly traded companies in the world from the Agricultural Products, Apparel and Extractives sectors on 100 human rights indicators. This company's score was in the 50-59 band range.  The overall average score was 28.7%.
[Source 2017][More on Human Rights]",Social, Praise,Adidas
5,assess,Commitment to zero deforestation 4/5,"The Forest 500 identifies, ranks, and tracks the governments, companies and financial institutions worldwide that together could virtually eradicate tropical deforestation. Rankings are based on their public policies and commitments and potential impacts on tropical forests in the context of forest risk commodities (palm oil, soya, beef, leather, timber, and pulp and paper). This company received a score of 4/5.
[Source 2016][More on Forests]",Environment, lesser praise ,Adidas
6,assess,Cotton sourcing (Rank a Brand),"In 2016 Rank a Brand assessed 37 major cotton-using companies on their commitment and performance with regard to sustainable cotton by looking at each company's cotton sourcing policies, use of sustainable cotton, and traceability. This company scored 7.75/19.5, making it one of the one of best performing companies.
[Source 2016][More on Human Rights]",Social, lesser praise ,Adidas
7,assess,Child labour scorecard,"This website by German NGO Earth Link rates companies on their corporate policies against child labour, production monitoring and accusations of child labour. This company received at least one green mark, and no red marks, indicating good performance in one or more of these areas.
[Source 2013][More on Human Rights]",Social, lesser praise ,Adidas
8,assess,Bangladesh Safety Accord signatory,"This company has signed the 'Accord on Fire and Building Safety in Bangladesh', a program endorsed by Bangladeshi and international unions and labor rights organizations. The ground-breaking program includes independent safety inspections with public reports, mandatory factory building renovations, the obligation by brands and retailers to underwrite the cost of repairs, and a vital role for workers and their unions  all in a legally-binding, enforceable agreement.
[Source 2014][More on Human Rights]",Social, lesser praise ,Adidas
9,assess,FLA Accredited,"When joining the Fair Labor Association (FLA) this company committed to promoting and complying with international labor standards throughout their supply chain. The FLA does not accredit the company itself; rather, they accredit the company's labor compliance program. Being granted accreditation implies that their workplace standards program is substantially in compliance with the FLA Code.
[Source 2016][More on Workers Rights]",Social, lesser praise ,Adidas
10,assess,Uzbek cotton commitment,"This company has signed the Cotton Pledge with the Responsible Sourcing Network, signifying a public commitment to not use Uzbekistani cotton. (Uzbekistan is the world's fifth largest exporter of cotton and has for decades been criticised for using the forced labour of its schoolchildren to harvest that cotton by hand under appalling conditions. This practice is organised and controlled by the central government).
[Source 2016][More on Human Rights]",Social, lesser praise ,Adidas
11,assess,69/100 in Fashion Transparency Index,"The 2016 Fashion Transparency Index looks at how much brands know about their supply chains, what kind of policies they have in place and importantly, how much information they share with the public about their practices and products. This company scored 69%, signifying it is doing a bit more than the others when it comes to having policies and commitments in place and auditing and reporting activities, but could be doing more.
[Source 2016][More on Sustainability Reporting]",Business Ethics, lesser praise ,Adidas
12,assess,Global 100,"The Global 100 Most Sustainable Corporations in the World list is an extensive data-driven corporate sustainability assessment. The ranked companies are leaders in the field of a sustainable business approach. The efficiency of a company's energy, water, CO2 and waste management is measured in relation to its total sales volume. The disclosure of that information is a pre-condition for the assessment. This company ranked #5 in the 2016 Global 100.
[Source 2016][More on Sustainability Reporting]",Business Ethics, lesser praise ,Adidas
13,assess,71.4% in Newsweek Green Rankings 2014,"This company received a score of 71.4/100 in the Newsweek Green Rankings 2014, which ranks the world's largest publicly traded companies on eight indicators covering energy, greenhouse gases, water, waste, fines and penalties, linking executive pay to sustainability targets, board-level committee oversight of environmental issues and third-party audits. Ranking methodology by Corporate Knights.
[Source 2014][More on Sustainability Reporting]",Business Ethics, lesser praise ,Adidas
14,assess,Workers rights in Indonesia,"A 2012 investigation by The Independent reveals workers at nine Indonesian factories contracted to produce Olympic shoes and clothing for Adidas are working up to 65-hour weeks and earning as little as 53 cents an hour. None of the nine factories pays its employees a living wage.
[Source 2012][More on Workers Rights]",Social, Criticism,Adidas
15,assess,Workers rights,"Playfair 2012, a coalition of trade unions and campaigning organisations, says this company is not doing enough to: ensure all workers are paid a living wage; allow workers to bargain collectively; eliminate short term contracts; and build long-term relationships with supplier factories.
[Source 2012][More on Workers Rights]",Social, Criticism,Adidas
16,assess,Sweatshops in Bangladesh,"This 2012 report by War on Want presents a detailed picture of the conditions faced by workers in Bangladesh, mostly women, who produce the sportswear sold by leading brands Adidas, Nike and Puma. Abuses include paying workers below the legal minimum wage in Bangladesh, excessive hours, sexual harassment and beatings. On average workers were paid just 16p an hour, with two thirds of the workers working over 60 hours a week, in clear breach of Bangladeshi law.
[Source 2012][More on Workers Rights]",Social, Criticism,Adidas
17,assess,Workers rights in China,"This 2014 report by the Workers Rights Consortium investigates workers' rights violations at Yue Yuen, the manufacturing arm of the largest producer of branded athletic shoes in the world, and supplier to many major footwear brands, including brands owned by this company. Violations include illegal underpayment, unpaid overtime, restricting freedom to organise, and failure to provide valid employment contracts. 
[Source 2014][More on Workers Rights]",Social, Criticism,Adidas
18,assess,Workers rights in Cambodia,"This company is one of the top 5 companies sourcing from Cambodia, where the minimum wage is just 21% of what Asia Floor Wage calculate to be a living wage for the country. Cambodia's garment workers endure excessive overtime, low wages, malnourishment (sometimes leading to mass fainting), violence and intimidation.
[Source 2014][More on Workers Rights]",Social, Criticism,Adidas
19,assess,'D' rating at rankabrand.org,"Rank a Brand searches the websites of brands for the answers to carefully targeted questions. From this they calculate sustainability scores based on the themes of environment, climate, labor issues, and transparency. Brands owned by this company received a 'D'.
[Source 2015][More on Sustainability Reporting]",Business Ethics, lesser criticism,Adidas
20,assess,Water pollution in Indonesia,"According to Greenpeace's 2013 report ""Toxic Threads: a story of big brands and water pollution in Indonesia"", this company had a business relationship in the recent past with PT Gistex Group, the company responsible for discharging a wide range of hazardous substances directly into the Citarum River in Indonesia.
[Source 2013][More on Habitats]",Environment, minor criticism,Adidas
21,assess,"Sweatshops in Indonesia, Sri Lanka and the Philippines","This 2011 report by the International Textile Garment and Leather Workers' Federation (ITGLWF) examined working conditions in 83 factories in Indonesia, Sri Lanka and the Philippines. Investigations found that widespread violations and abuses of workers' rights continue to be the norm, such as underpaying workers, long hours, forced overtime, and repression of the freedom of association. This company's brands were found to be made in one or more of the 83 factories covered in the research. [Listed under Information due to age of report]
[Source 2011][More on Workers rights]",Social, minor criticism,Adidas
22,assess,Child labour,"New research (2010) into soccer ball stitching for sports giants Adidas, Umbro, and Nike has found alarming reports of illegally low pay, child labour, and temporary contracts leaving workers vulnerable.  [Listed under Information due to age of report]
[Source 2010][More on Workers Rights]",Social, minor criticism,Adidas
23,assess,Ocean plastic sportswear,"Adidas is working with Parley to turn ocean plastic pollution into sportswear such as Ultraboost running shoes and football jerseys. Adidas has committed to creating 1 million pairs of Ultraboost shoes by the end of 2017.
[Source 2016][More on Oceans]",Environment, minor praise,Adidas
24,assess,bluesign member,"The bluesign® Standard sets ""best practices"" for the use of chemicals and resources  including water and energy  in the textile industry. Textile manufacturers who are bluesign system partners agree to establish management systems to improve environmental performance in five key areas of the production process: resource productivity, consumer safety, water emissions, air emissions, and occupational health and safety. They regularly report their progress, are subject to on-site audits, and must meet improvement goals to maintain their status.
[Source 2016][More on Habitats]",Environment, minor praise,Adidas
25,assess,Detox commitment,"Greenpeace launched its ""Detox My Fashion"" campaign in 2011 to expose the direct links between global clothing brands, their suppliers and toxic water pollution around the world. As a result, many companies, including this one, committed to Greenpeace's Detox Program. The 2016 Detox Catwalk report focused on implementation, assessing the steps taken by fashion brands to fulfil their commitments using three criteria: Detox 2020 plan, PFC elimination and Transparency. This company is ""committed to Detox and has made progress implementing its plans, but its actions need to evolve faster to achieve the 2020 Detox goal"".
[Source 2016][More on Habitats]",Environment, minor praise,Adidas
26,assess,Zero discharge of hazardous chemicals ,"In 2011, a group of major apparel and footwear brands and retailers, including this company, made a shared commitment to help lead the industry towards zero discharge of hazardous chemicals by 2020. It includes specific commitments and timelines to realize this shared goal.
[Source 2017][More on Habitats]",Environment, minor praise,Adidas
27,assess,Action on Darfur,"Identified in 'The Big Chill: Too Scared to Speak' report which identified Chinese Olympic Sponsors response to Darfur crisis in Sudan. Received a B+ for writing the UN and allowing those letters to be made public, among other actions.
[Source 2008][More on Human Rights]",Social, minor praise,Adidas
28,assess,Angora ban,"This company has taken angora items off the shelves and promised not to use angora again, following a PETA campaign launched in Dec 2013 which revealed the cruelty inflicted on angora rabbits in Chinese factory farms, where 90% of the world's angora is produced.
[Source 2017][More on Animal Rights]",Animals, minor praise,Adidas
29,assess,Sustainable Apparel Coalition member,"This company is a founding member of the Sustainable Apparel Coalition, a multi-stakeholder initiative launched in March 2011 by a group of global apparel and footwear companies and non-profit organizations (representing nearly one third of the global market share for apparel and footwear). The Coalition's goals are to reduce the apparel industry's environmental and social impact, and to develop a universal index to measure environmental and social performance of apparel products. 
[Source 2015][More on Multi-Stakeholder Initiatives]",Business Ethics, minor praise,Adidas
30,assess,Contract Factory Disclosure List,"This list was given to the International Textile, Garment and Leather Workers Federation during their campaign to force multinational buyers to disclose their suppliers to the public. Since 2005 a steady stream of brands have been releasing details of their supplier factories.
[Source 2010][More on Governance]",Business Ethics, minor praise,Adidas
31,assess,Better Cotton Initiative member,"This company is a member of the Better Cotton Initiative, a voluntary initiative which encourages the adoption of better management practices in cotton cultivation to achieve measurable reductions in key environmental impacts, while improving social and economic benefits for cotton farmers, small and large, worldwide.
[Source 2016][More on Multi-Stakeholder Initiatives]",Business Ethics, minor praise,Adidas
32,assess,Textile Exchange member,"Textile Exchange (formerly known as Organic Exchange) is a US-based non-profit organization which operates internationally and is committed to the responsible expansion of textile sustainability across the global textile value chain, with a special focus on organic cotton.
[Source 2013][More on Multi-Stakeholder Initiatives]",Business Ethics, minor praise,Adidas
33,assess,I:Collect partner,"This company is a partner of I:Collect (aka I:CO), a global collection network to keep discarded clothing and shoes out of landfills. Customers deposit used textiles into recycling dropoff boxes at this company's stores, and I:CO arranges their environmentally-friendly removal, sorting and reuse.
[Source 2014][More on Governance]",Business Ethics, minor praise,Adidas
34,assess,Leather Working Group member,"This company is a member of the Leather Working Group, a multi-stakeholder group who's objective is to develop and maintain a protocol that assesses the compliance and environmental performance of tanners and promotes sustainable and appropriate environmental business practices within the leather industry.
[Source 2016][More on Multi-Stakeholder Initiatives]",Business Ethics, minor praise,Adidas
35,assess,Workers rights improve in China,"This 2010 investigative report by China Labour Watch reveals that conditions in factories supplying Adidas improved considerably in 2009. In one factory 26 out of the 28 issues CLW pointed out in 2008 saw improvement. The remaining issues are illegally long working hours and the problem of worker suicides. CLW says that while these improvements are satisfactory, it must be noted that the problems had existed for more than ten years. It is also noted that working conditions in factories not under NGO or media scrutiny are likely to still be poor.
[Source 2010][More on Workers Rights]",Social, information,Adidas
36,assess,Efforts to pay a living wage,"This company mentions work on living wages, but their solutions are unconvincing so far, according to this 2014 report by the Clean Clothes Campaign which grades companies on their efforts to ensure workers in its supply chain receive a living wage. 
[Source 2014][More on Workers Rights]",Social, information,Adidas
37,assess,Kangaroo skin boots,"Adidas was the target of a long running boycott call from animal rights campaigners Viva! for its use of kangaroo skin to make some types of football boots. However in September 2012 Adidas announced it would phase out the use of kangaroo leather by 98% over the following 12 months.
[Source 2012][More on Animal Rights]",Animals, information,Adidas
38,assess,Political boycott,"Call to boycott by BDS due to involvement in Israel. [This assessment has not been used in calculation of ratings].
[Source 2012][More on Politics]",Business Ethics, information,Adidas
39,assess,Responsible Shopper profile,"Green America's Responsible Shopper provides details about the corporate responsibility records of well-known companies. Follow the link to see this company's profile. [Last updated 2009]
[Source 2009]",Information,,Adidas
40,assess,Project JUST profile,"Project JUST examines the manufacturing practices and ethics of fashion brands. Follow the link to see this company's profile.
[Source 2016]",Information,,Adidas
41,assess,Facing Finance profile,"This company is listed on the Facing Finance website as a company that manufactures weapons or profits from violations of human rights, pollution, corruption, or international law. Follow link for further details.
[Source 2014]",Information,,Adidas
42,assess,Play Fair company profile,"This 2008 report compares eight sportswear companies on their labour rights practices.
[Source 2008]",Information,,Adidas
0,assess,100% on Corporate Equality Index,"This company is listed as having best practice on a report card on lesbian, gay, bisexual and transgender equality in corporate America.
[Source 2017][More on Workers Rights]",Social, lesser praise ,American Apparel
1,assess,B grade at Behind the Barcode,"B grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]",Social, lesser praise ,American Apparel
2,assess,Child labour scorecard,"This website by German NGO Earth Link rates companies on their corporate policies against child labour, production monitoring and accusations of child labour. This company received at least one red mark, indicating poor performance in one or more of these areas.
[Source 2013][More on Human Rights]",Social, lesser criticism,American Apparel
3,assess,'D' rating at rankabrand.org,"Rank a Brand searches the websites of brands for the answers to carefully targeted questions. From this they calculate sustainability scores based on the themes of environment, climate, labor issues, and transparency. Brands owned by this company received a 'D'.
[Source 2017][More on Sustainability Reporting]",Business Ethics, lesser criticism,American Apparel
4,assess,Breaching advertising codes,"This company has been criticised for offensive advertising. In 2012 the Advertising Standards Bureau upheld complaints about a print ad by this company on the grounds that it breached advertising codes. The ad was subsequently discontinued or modified.
[Source 2012][More on Irresponsible Marketing]",Social, minor criticism,American Apparel
5,assess,Fur free retailer,"This retailer has committed to being a fur free retailer, as recognised by the International Fur Free Retailer Program.
[Source 2014][More on Animal Rights]",Animals, minor praise,American Apparel
6,assess,SB 657 disclosure statement,"The California Transparency in Supply Chains Act of 2010 (SB 657) requires companies operating in California to disclose their efforts to eradicate slavery and human trafficking from their direct supply chains. KnowTheChain.org has examined this company's disclosure statement and concluded that it addresses the majority of SB 657 requirements. Follow the link to see this company's disclosure statement.
[Source 2013][More on Workers Rights]",Social, information,American Apparel
7,assess,Cotton sourcing (As You Sow),"Responsible Sourcing Network's 2014 report Cotton Sourcing Snapshot: A Survey of Corporate Practices to End Forced Labor includes survey results and ratings of 49 companies reflecting actions they are taking to stop cotton from Uzbekistan picked with forced labor from entering their supply chains. The survey offered a maximum of 100 points across 11 indicators in the categories of Policy, Public Disclosure, Engagement, and Implementation & Auditing. Only five companies scored over 50 points, 19 companies scored under 25 points, and two companies scored zero. This company received a score of 32.
[Source 2014][More on Human Rights]",Social, information,American Apparel
8,assess,Project JUST profile,"Project JUST examines the manufacturing practices and ethics of fashion brands. Follow the link to see this company's profile.
[Source 2016]",Information,,American Apparel
0,assess,A- grade at Behind the Barcode,"A- grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]",Social, Praise,APG&Co
1,assess,Bangladesh Safety Accord signatory,"This company has signed the 'Accord on Fire and Building Safety in Bangladesh', a program endorsed by Bangladeshi and international unions and labor rights organizations. The ground-breaking program includes independent safety inspections with public reports, mandatory factory building renovations, the obligation by brands and retailers to underwrite the cost of repairs, and a vital role for workers and their unions  all in a legally-binding, enforceable agreement.
[Source 2015][More on Workers Rights]",Social, lesser praise ,APG&Co
2,assess,Uzbek cotton commitment,"This company has signed the Cotton Pledge with the Responsible Sourcing Network, signifying a public commitment to not use Uzbekistani cotton. (Uzbekistan is the world's fifth largest exporter of cotton and has for decades been criticised for using the forced labour of its schoolchildren to harvest that cotton by hand under appalling conditions. This practice is organised and controlled by the central government).
[Source 2016][More on Human Rights]",Social, lesser praise ,APG&Co
3,assess,Misleading guarantee representations,"In June 2016 this company paid penalties totalling $21,600 after being issued with two infringement notices by the ACCC following an investigation into the recognition of consumer guarantee rights in the clothing retail industry. The ACCC issued the infringement notices because it had reasonable grounds to believe that Sportcraft had made false or misleading representations about consumer guarantees to its customers, in breach of the Australian Consumer Law.
[Source 2016][More on Irresponsible Marketing]",Social, minor criticism,APG&Co
4,assess,CSR claims,"This company has corporate social responsibility claims on its website including a code of conduct.
[Source 2015][More on Sustainability Reporting]",Business Ethics, minor praise,APG&Co
0,assess,Bangladesh Safety Accord signatory,"This company has signed the 'Accord on Fire and Building Safety in Bangladesh', a program endorsed by Bangladeshi and international unions and labor rights organizations. The ground-breaking program includes independent safety inspections with public reports, mandatory factory building renovations, the obligation by brands and retailers to underwrite the cost of repairs, and a vital role for workers and their unions  all in a legally-binding, enforceable agreement.
[Source 2014][More on Workers Rights]",Social, lesser praise ,Arcadia
1,assess,Child labour scorecard,"This website by German NGO Earth Link rates companies on their corporate policies against child labour, production monitoring and accusations of child labour. This company received at least one red mark, indicating poor performance in one or more of these areas.
[Source 2013][More on Human Rights]",Social, lesser criticism,Arcadia
2,assess,49/100 in Fashion Transparency Index,"The 2016 Fashion Transparency Index looks at how much brands know about their supply chains, what kind of policies they have in place and importantly, how much information they share with the public about their practices and products. This company scored 49%, signifying it makes some efforts to manage and improve their supply chains but make little supply chain information publicly available. This company still has a long way to go towards supply chain transparency.
[Source 2016][More on Sustainability Reporting]",Business Ethics, lesser criticism,Arcadia
3,assess,Sued for $5 million,"Pop singer Rihanna won a legal battle with this company in July 2013 over a T-shirt  image sold through the Topshop chain. She sued Arcadia in the London High Court for US$5million as her image had been used without her approval.
[Source 2013][More on Finance]",Business Ethics, lesser criticism,Arcadia
4,assess,Tax avoidance,"Arcadia Group has been targeted by tax avoidance protesters UK Uncut. Rather than being registered as Sir Philip Green's (the public face of the brand), the company is registered under the name of his wife, Tina, who lives in 0% income tax zone Monaco. In 2005 Philip Green awarded himself 1.2bn pounds, the biggest paycheck in British corporate history.
[Source 2012][More on Finance]",Business Ethics, lesser criticism,Arcadia
5,assess,Fur free,"This company has announced that they don't sell animal fur or are phasing in a fur-free policy.
[Source 2014][More on Animal Rights]",Animals, minor praise,Arcadia
6,assess,Fashion Footprint claims,"Follow the link to see details on Ardadia Group's Fashion Footprint programme, which claims to ""monitor and manage the social and environmental impacts of our business, providing a focus and framework for our activities"". 
[Source 2017][More on Sustainability Reporting]",Business Ethics, minor praise,Arcadia
7,assess,ACT participant,"This company is a participant in the Action, Collaboration, Transformation (ACT) initiative, an initiative between international brands and retailers, manufacturers, and trade unions to address the issue of living wages in the textile and garment supply chain.
[Source 2016][More on Multi-Stakeholder Initiatives]",Business Ethics, minor praise,Arcadia
8,assess,SCAP signatory,"This company is a signatory to WRAP's Sustainable Clothing Action Plan (SCAP). Signatories commit to a set of principles that work towards reaching the SCAP 2020 Targets to improve the sustainability of clothing across its life cycle by working collaboratively with industry, government and the third sector.
[Source 2017][More on Multi-Stakeholder Initiatives]",Business Ethics, minor praise,Arcadia
9,assess,C+ grade at Behind the Barcode,"C+ grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]",Social, information,Arcadia
10,assess,Efforts to pay a living wage,"This company mentions work on living wages, but their solutions are unconvincing so far, according to this 2014 report by the Clean Clothes Campaign which grades companies on their efforts to ensure workers in its supply chain receive a living wage. 
[Source 2014][More on Workers Rights]",Social, information,Arcadia
11,assess,Project JUST profile,"Project JUST examines the manufacturing practices and ethics of fashion brands. Follow the link to see this company's profile.
[Source 2016]",Information,,Arcadia
0,assess,Carbon neutral company,"This company is certified as a CarbonNeutral company. This was achieved by measuring greenhouse gas emissions from their premises, business travel, commuting, outgoing deliveries and packaging materials and reducing these emissions to net zero through a combination of internal initiatives and the purchase of carbon offsets.
[Source 2013][More on Climate Change]",Environment, Praise,ASOS
