brand_name,evaluation,brand_id
Esprit,"Sound familiar? Like Lidl, Aldi, WE and others, Esprit has simply repeated back to us the answers provided by the BSCI, without engaging in the issues. Very little evidence was given of any work to address the problem of low pay. Nothing in the answers provided indicated to us a serious engagement with the need to increase pay to a living-wage level.",125
Esprit Casual,"Sound familiar? Like Lidl, Aldi, WE and others, Esprit has simply repeated back to us the answers provided by the BSCI, without engaging in the issues. Very little evidence was given of any work to address the problem of low pay. Nothing in the answers provided indicated to us a serious engagement with the need to increase pay to a living-wage level.",
Esprit Collection,"Sound familiar? Like Lidl, Aldi, WE and others, Esprit has simply repeated back to us the answers provided by the BSCI, without engaging in the issues. Very little evidence was given of any work to address the problem of low pay. Nothing in the answers provided indicated to us a serious engagement with the need to increase pay to a living-wage level.",
Esprit Sports,"Sound familiar? Like Lidl, Aldi, WE and others, Esprit has simply repeated back to us the answers provided by the BSCI, without engaging in the issues. Very little evidence was given of any work to address the problem of low pay. Nothing in the answers provided indicated to us a serious engagement with the need to increase pay to a living-wage level.",
Edc,"Sound familiar? Like Lidl, Aldi, WE and others, Esprit has simply repeated back to us the answers provided by the BSCI, without engaging in the issues. Very little evidence was given of any work to address the problem of low pay. Nothing in the answers provided indicated to us a serious engagement with the need to increase pay to a living-wage level.",
G-Star Raw Denim,"G-Star needs to make the leap of commitment towards a living wage. It is great that it is monitoring the wages it pays against real living-wage figures, but unless it puts this into its company policy, this support for the principle of a living wage is meaningless and the gap will not be bridged.",
Gap,"principle and practice is important to laying a foundation for increased wages. Gaps submission, although containing many fine words and sentiments, shows little proof of real work that will Gap says factory managers are obliged to inform workers improve wages for workers making its clothes. This is of unions operating in the factory, provide their contact disappointing. Gaps proposals to look into productivity details and display or distribute a copy of any collective projects and ensure it is paying the minimum wage are bargaining agreement. also sadly insufficient. .",153
Banana Republic,"principle and practice is important to laying a foundation for increased wages. Gaps submission, although containing many fine words and sentiments, shows little proof of real work that will Gap says factory managers are obliged to inform workers improve wages for workers making its clothes. This is of unions operating in the factory, provide their contact disappointing. Gaps proposals to look into productivity details and display or distribute a copy of any collective projects and ensure it is paying the minimum wage are bargaining agreement. also sadly insufficient. .",152
Old Navy,"principle and practice is important to laying a foundation for increased wages. Gaps submission, although containing many fine words and sentiments, shows little proof of real work that will Gap says factory managers are obliged to inform workers improve wages for workers making its clothes. This is of unions operating in the factory, provide their contact disappointing. Gaps proposals to look into productivity details and display or distribute a copy of any collective projects and ensure it is paying the minimum wage are bargaining agreement. also sadly insufficient. .",154
Piperlime,"principle and practice is important to laying a foundation for increased wages. Gaps submission, although containing many fine words and sentiments, shows little proof of real work that will Gap says factory managers are obliged to inform workers improve wages for workers making its clothes. This is of unions operating in the factory, provide their contact disappointing. Gaps proposals to look into productivity details and display or distribute a copy of any collective projects and ensure it is paying the minimum wage are bargaining agreement. also sadly insufficient. .",
Athleta,"principle and practice is important to laying a foundation for increased wages. Gaps submission, although containing many fine words and sentiments, shows little proof of real work that will Gap says factory managers are obliged to inform workers improve wages for workers making its clothes. This is of unions operating in the factory, provide their contact disappointing. Gaps proposals to look into productivity details and display or distribute a copy of any collective projects and ensure it is paying the minimum wage are bargaining agreement. also sadly insufficient. .",151
Intermix,"principle and practice is important to laying a foundation for increased wages. Gaps submission, although containing many fine words and sentiments, shows little proof of real work that will Gap says factory managers are obliged to inform workers improve wages for workers making its clothes. This is of unions operating in the factory, provide their contact disappointing. Gaps proposals to look into productivity details and display or distribute a copy of any collective projects and ensure it is paying the minimum wage are bargaining agreement. also sadly insufficient. .",
Gucci,"Gucci says it produces 100% of its goods in Italy, where it says rights are upheld. However, the company has more than 3,000 subcontracted suppliers and it is unclear to us what its policy is for upholding rights in these workplaces. Previous case work found some Gucci products (uniforms for employees) being made in Turkey. More effort than a simple statement in a policy document is needed.",248
H&M,"H&M has taken some big steps forward in its work in the last 6 months, and has come out in support of a fair living wage. However, its strategy lacks a living wage benchmark. The wage increases that are currently possible at a factory level through negotiation, when the starting point is only a fraction of the amount needed, will not reach an actual living wage sufficient to feed and support a family. The other elements of H&Ms strategy  capacity building with suppliers, advocacy for increased minimum wages, and adjustments in purchasing practices  may help, but the crucial commitment to a living wage benchmark is a necessary next step for making living wages possible.",178
Cos,"H&M has taken some big steps forward in its work in the last 6 months, and has come out in support of a fair living wage. However, its strategy lacks a living wage benchmark. The wage increases that are currently possible at a factory level through negotiation, when the starting point is only a fraction of the amount needed, will not reach an actual living wage sufficient to feed and support a family. The other elements of H&Ms strategy  capacity building with suppliers, advocacy for increased minimum wages, and adjustments in purchasing practices  may help, but the crucial commitment to a living wage benchmark is a necessary next step for making living wages possible.",177
Monki,"H&M has taken some big steps forward in its work in the last 6 months, and has come out in support of a fair living wage. However, its strategy lacks a living wage benchmark. The wage increases that are currently possible at a factory level through negotiation, when the starting point is only a fraction of the amount needed, will not reach an actual living wage sufficient to feed and support a family. The other elements of H&Ms strategy  capacity building with suppliers, advocacy for increased minimum wages, and adjustments in purchasing practices  may help, but the crucial commitment to a living wage benchmark is a necessary next step for making living wages possible.",179
Weekday,"H&M has taken some big steps forward in its work in the last 6 months, and has come out in support of a fair living wage. However, its strategy lacks a living wage benchmark. The wage increases that are currently possible at a factory level through negotiation, when the starting point is only a fraction of the amount needed, will not reach an actual living wage sufficient to feed and support a family. The other elements of H&Ms strategy  capacity building with suppliers, advocacy for increased minimum wages, and adjustments in purchasing practices  may help, but the crucial commitment to a living wage benchmark is a necessary next step for making living wages possible.",180
Cheap Monday,"H&M has taken some big steps forward in its work in the last 6 months, and has come out in support of a fair living wage. However, its strategy lacks a living wage benchmark. The wage increases that are currently possible at a factory level through negotiation, when the starting point is only a fraction of the amount needed, will not reach an actual living wage sufficient to feed and support a family. The other elements of H&Ms strategy  capacity building with suppliers, advocacy for increased minimum wages, and adjustments in purchasing practices  may help, but the crucial commitment to a living wage benchmark is a necessary next step for making living wages possible.",176
& Other Stories,"H&M has taken some big steps forward in its work in the last 6 months, and has come out in support of a fair living wage. However, its strategy lacks a living wage benchmark. The wage increases that are currently possible at a factory level through negotiation, when the starting point is only a fraction of the amount needed, will not reach an actual living wage sufficient to feed and support a family. The other elements of H&Ms strategy  capacity building with suppliers, advocacy for increased minimum wages, and adjustments in purchasing practices  may help, but the crucial commitment to a living wage benchmark is a necessary next step for making living wages possible.",
Hugo Boss,"Hugo Boss has basic information on minimum-wage payment within its code of conduct and a section on sustainability in its 2012 annual report. Other than this, there is no evidence of any work being done within supply chains to ensure workers are being paid a living wage. All in all very disappointing for such a high-profile brand.",216
Peak Performance,"As with Lidl, Aldi, WE and others, IC Companys has simply repeated back to us the answers provided by the BSCI, without engaging in the issues. Very little evidence was given of any work to address the problem of low pay. Nothing in the answers provided by this company indicated to us a serious engagement in the need to increase pay to a living-wage level.",
Tiger of Sweden,"As with Lidl, Aldi, WE and others, IC Companys has simply repeated back to us the answers provided by the BSCI, without engaging in the issues. Very little evidence was given of any work to address the problem of low pay. Nothing in the answers provided by this company indicated to us a serious engagement in the need to increase pay to a living-wage level.",
By Malene Birger,"As with Lidl, Aldi, WE and others, IC Companys has simply repeated back to us the answers provided by the BSCI, without engaging in the issues. Very little evidence was given of any work to address the problem of low pay. Nothing in the answers provided by this company indicated to us a serious engagement in the need to increase pay to a living-wage level.",
Soaked in Luxury,"As with Lidl, Aldi, WE and others, IC Companys has simply repeated back to us the answers provided by the BSCI, without engaging in the issues. Very little evidence was given of any work to address the problem of low pay. Nothing in the answers provided by this company indicated to us a serious engagement in the need to increase pay to a living-wage level.",
InWear,"As with Lidl, Aldi, WE and others, IC Companys has simply repeated back to us the answers provided by the BSCI, without engaging in the issues. Very little evidence was given of any work to address the problem of low pay. Nothing in the answers provided by this company indicated to us a serious engagement in the need to increase pay to a living-wage level.",
Part Two,"As with Lidl, Aldi, WE and others, IC Companys has simply repeated back to us the answers provided by the BSCI, without engaging in the issues. Very little evidence was given of any work to address the problem of low pay. Nothing in the answers provided by this company indicated to us a serious engagement in the need to increase pay to a living-wage level.",
Saint Tropez,"As with Lidl, Aldi, WE and others, IC Companys has simply repeated back to us the answers provided by the BSCI, without engaging in the issues. Very little evidence was given of any work to address the problem of low pay. Nothing in the answers provided by this company indicated to us a serious engagement in the need to increase pay to a living-wage level.",
Designers Remix,"As with Lidl, Aldi, WE and others, IC Companys has simply repeated back to us the answers provided by the BSCI, without engaging in the issues. Very little evidence was given of any work to address the problem of low pay. Nothing in the answers provided by this company indicated to us a serious engagement in the need to increase pay to a living-wage level.",
Matinique,"As with Lidl, Aldi, WE and others, IC Companys has simply repeated back to us the answers provided by the BSCI, without engaging in the issues. Very little evidence was given of any work to address the problem of low pay. Nothing in the answers provided by this company indicated to us a serious engagement in the need to increase pay to a living-wage level.",
Zara,"Inditexs commitment to working with trade unions to increase pay, demonstrated by its International Framework Agreement, is commendable. While the focus on freedom of association is very welcome, the focus on delivering improvements to wages needs to be improved and developed if workers in the companys supplier factories are to start seeing concrete improvements to their economic well-being.",471
Bershka,"Inditexs commitment to working with trade unions to increase pay, demonstrated by its International Framework Agreement, is commendable. While the focus on freedom of association is very welcome, the focus on delivering improvements to wages needs to be improved and developed if workers in the companys supplier factories are to start seeing concrete improvements to their economic well-being.",225
Stradivarius,"Inditexs commitment to working with trade unions to increase pay, demonstrated by its International Framework Agreement, is commendable. While the focus on freedom of association is very welcome, the focus on delivering improvements to wages needs to be improved and developed if workers in the companys supplier factories are to start seeing concrete improvements to their economic well-being.",229
Pull & Bear,"Inditexs commitment to working with trade unions to increase pay, demonstrated by its International Framework Agreement, is commendable. While the focus on freedom of association is very welcome, the focus on delivering improvements to wages needs to be improved and developed if workers in the companys supplier factories are to start seeing concrete improvements to their economic well-being.",
Massimo Dutti,"Inditexs commitment to working with trade unions to increase pay, demonstrated by its International Framework Agreement, is commendable. While the focus on freedom of association is very welcome, the focus on delivering improvements to wages needs to be improved and developed if workers in the companys supplier factories are to start seeing concrete improvements to their economic well-being.",226
Oysho,"Inditexs commitment to working with trade unions to increase pay, demonstrated by its International Framework Agreement, is commendable. While the focus on freedom of association is very welcome, the focus on delivering improvements to wages needs to be improved and developed if workers in the companys supplier factories are to start seeing concrete improvements to their economic well-being.",227
Zara Home,"Inditexs commitment to working with trade unions to increase pay, demonstrated by its International Framework Agreement, is commendable. While the focus on freedom of association is very welcome, the focus on delivering improvements to wages needs to be improved and developed if workers in the companys supplier factories are to start seeing concrete improvements to their economic well-being.",
Lefties,"Inditexs commitment to working with trade unions to increase pay, demonstrated by its International Framework Agreement, is commendable. While the focus on freedom of association is very welcome, the focus on delivering improvements to wages needs to be improved and developed if workers in the companys supplier factories are to start seeing concrete improvements to their economic well-being.",
Uterqüe,"Inditexs commitment to working with trade unions to increase pay, demonstrated by its International Framework Agreement, is commendable. While the focus on freedom of association is very welcome, the focus on delivering improvements to wages needs to be improved and developed if workers in the companys supplier factories are to start seeing concrete improvements to their economic well-being.",
Kik,"
This company did not respond to our request for information and makes little data 
available on its website about labour rights or living wages. Charitable work to patch up holes caused by the extreme poverty that exists in the fashion industry is not the kind of response
that is needed from global buyers. Help for education and healthcare projects in Bangladesh is all
very well, but only in addition to serious engagement in improving low wages for workers. The need to
pay a living wage is the primary responsibility of global buyers, and information on how Kik is
progressing towards this goal is the sort of thing we would hope to read on the responsibility page
of its website in the future. The fact that there is no information available about work to increase
wages currently leads us to assume the worst: that none is being undertaken.
",
Levis,"Levi Stauss & Co.s new strategy on, among other things, economic empowerment lacks any real commitment to increase wages  the thing that workers need the most. Healthcare, maths classes and meal programmes are all very well, but these needs could be met by paying a living wage. LS & Co. need to re-evaluate and get back on track.",
Dockers,"Levi Stauss & Co.s new strategy on, among other things, economic empowerment lacks any real commitment to increase wages  the thing that workers need the most. Healthcare, maths classes and meal programmes are all very well, but these needs could be met by paying a living wage. LS & Co. need to re-evaluate and get back on track.",256
Denizen,"Levi Stauss & Co.s new strategy on, among other things, economic empowerment lacks any real commitment to increase wages  the thing that workers need the most. Healthcare, maths classes and meal programmes are all very well, but these needs could be met by paying a living wage. LS & Co. need to re-evaluate and get back on track.",
Signature by Levi Strauss & Co.,"Levi Stauss & Co.s new strategy on, among other things, economic empowerment lacks any real commitment to increase wages  the thing that workers need the most. Healthcare, maths classes and meal programmes are all very well, but these needs could be met by paying a living wage. LS & Co. need to re-evaluate and get back on track.",
Lidl,"This might all sound familiar if youve read the statements of many other BSCI members in this report. Like a number of these companies, Lidl has mostly repeated the answers given to it by the BSCI. However, some further information provided by the company highlights interesting project work in Bangladesh, on top of business-as-usual BSCI compliance.",
Reserved,This company did not respond to our request for information and makes no information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.,
House,This company did not respond to our request for information and makes no information available on its website. It is therefore safe to assume the worst: that it has no engagement with ethical trading at all.,
