abstract,detail,company_name,aspect,post_nega,company_id
"Sweatshops in Indonesia, Sri Lanka and the Philippines","This 2011 report by the International Textile Garment and Leather Workers' Federation (ITGLWF) examined working conditions in 83 factories in Indonesia, Sri Lanka and the Philippines. Investigations found that widespread violations and abuses of workers' rights continue to be the norm, such as underpaying workers, long hours, forced overtime, and repression of the freedom of association. This company's brands were found to be made in one or more of the 83 factories covered in the research. [Listed under Information due to age of report]
[Source 2011][More on Workers rights]",Abercrombie & Fitch,Social, minor criticism,1
Sweatshop Hall of Shame 2010,"Named in the International Labor Rights Forum's ""Sweatshop Hall of Shame 2010"", which highlights apparel and textile companies that use sweatshops in their global production. [Listed under Information due to age or report]
[Source 2010][More on Workers Rights]",Abercrombie & Fitch,Social, minor criticism,1
Fur free,"This company has announced that they don't sell animal fur or are phasing in a fur-free policy.
[Source 2014][More on Animal Rights]",Abercrombie & Fitch,Animals, minor praise,1
Better Work Partner,"This company is a partner of Better Work,  an initiative of the UN's International Labour Organization and the International Finance Corporation which brings diverse groups together - governments, global brands, factory owners, and unions and workers - to improve working conditions in the garment industry and make the sector more competitive.
[Source 2016][More on Multi-Stakeholder Initiatives]",Abercrombie & Fitch,Business Ethics, minor praise,1
SB 657 disclosure statement,"The California Transparency in Supply Chains Act of 2010 (SB 657) requires companies operating in California to disclose their efforts to eradicate slavery and human trafficking from their direct supply chains. KnowTheChain.org has examined this company's disclosure statement and concluded that it addresses the majority of SB 657 requirements. Follow the link to see this company's disclosure statement.
[Source 2013][More on Workers Rights]",Abercrombie & Fitch,Social, information,1
Cotton sourcing (As You Sow),"Responsible Sourcing Network's 2014 report Cotton Sourcing Snapshot: A Survey of Corporate Practices to End Forced Labor includes survey results and ratings of 49 companies reflecting actions they are taking to stop cotton from Uzbekistan picked with forced labor from entering their supply chains. The survey offered a maximum of 100 points across 11 indicators in the categories of Policy, Public Disclosure, Engagement, and Implementation & Auditing. Only five companies scored over 50 points, 19 companies scored under 25 points, and two companies scored zero. This company received a score of 34.
[Source 2014][More on Human Rights]",Abercrombie & Fitch,Social, information,1
Responsible Shopper profile,"Green America's Responsible Shopper provides details about the corporate responsibility records of well-known companies. Follow the link to see this company's profile. [Last updated 2009]
[Source 2009]",Abercrombie & Fitch,Information,,1
Project JUST profile,"Project JUST examines the manufacturing practices and ethics of fashion brands. Follow the link to see this company's profile.
[Source 2016]",Abercrombie & Fitch,Information,,1
OpenSecrets.org profile,"OpenSecrets.org tracks the influence of money on U.S. politics, and how that money affects policy and citizens' lives. Follow link to see this company's record of political donations, lobbying, outside spending and more.
[Source 2014]",Abercrombie & Fitch,Information,,1
Australian Packaging Covenant signatory,"Signatory to the Australian Packaging Covenant, a voluntary agreement to encourage waste minimisation.
[Source 2017][More on Packaging]",Adidas,Environment, lesser praise ,2
Supply chain practices in China,"This company received a score of 68.5/100 (retrieved 14-Feb-2018) in the Corporate Information Transparency Index (CITI), a system for evaluating supply chain practices in China, particularly in regards to environmental management and water pollution. Scores are calculated using government compliance data, online monitoring data, and third-party environmental audits, as well as trends in the environmental performance of factories in the company's supply chains.
[Source 2018][More on Habitats]",Adidas,Environment, Praise,2
Cotton sourcing (As You Sow),"Responsible Sourcing Network's 2014 report Cotton Sourcing Snapshot: A Survey of Corporate Practices to End Forced Labor includes survey results and ratings of 49 companies reflecting actions they are taking to stop cotton from Uzbekistan picked with forced labor from entering their supply chains. The survey offered a maximum of 100 points across 11 indicators in the categories of Policy, Public Disclosure, Engagement, and Implementation & Auditing. This company was one of only five to score over 50 points. 19 companies scored under 25 points, and two companies scored zero.
[Source 2014][More on Human Rights]",Adidas,Social, Praise,2
A- grade at Behind the Barcode,"A- grade in the Baptist World Aid Australia's 'Ethical Fashion Report 2017', which grades companies, from A to F, on the strength of their systems to mitigate against the risks of forced labour, child labour, and exploitation in their supply chains. Assessment criteria fall into four main categories: policies, knowing suppliers, auditing and supplier relationships, and worker empowerment.
[Source 2017][More on Workers Rights]",Adidas,Social, Praise,2
81/100 in KnowTheChain Benchmark,"In 2016 KnowTheChain benchmarked 60 large global companies in the ICT, Food & Beverage, and Apparel & Footwear sectors on their efforts to address forced labour and human trafficking in their supply chains. This company received a score of 81/100.
[Source 2016][More on Workers Rights]",Adidas,Social, Praise,2
Human Rights Benchmark,"The 2017 Corporate Human Rights Benchmark assessed 98 of the largest publicly traded companies in the world from the Agricultural Products, Apparel and Extractives sectors on 100 human rights indicators. This company's score was in the 50-59 band range.  The overall average score was 28.7%.
[Source 2017][More on Human Rights]",Adidas,Social, Praise,2
79.6% in Newsweek Green Ranking 2017,"This company received a score of 79.6/100 in the Newsweek Green Ranking 2017, which ranks the world's largest publicly traded companies on eight indicators covering energy, greenhouse gases, water, waste, fines and penalties, linking executive pay to sustainability targets, board-level committee oversight of environmental issues and third-party audits. Ranking methodology by Corporate Knights and HIP Investor.
[Source 2017][More on Sustainability Reporting]",Adidas,Business Ethics, Praise,2
Commitment to zero deforestation 4/5,"The Forest 500 identifies, ranks, and tracks the governments, companies and financial institutions worldwide that together could virtually eradicate tropical deforestation. Rankings are based on their public policies and commitments and potential impacts on tropical forests in the context of forest risk commodities (palm oil, soya, beef, leather, timber, and pulp and paper). This company received a score of 4/5.
[Source 2016][More on Forests]",Adidas,Environment, lesser praise ,2
Cotton sourcing (Rank a Brand),"In 2016 Rank a Brand assessed 37 major cotton-using companies on their commitment and performance with regard to sustainable cotton by looking at each company's cotton sourcing policies, use of sustainable cotton, and traceability. This company scored 7.75/19.5, making it one of the one of best performing companies.
[Source 2016][More on Human Rights]",Adidas,Social, lesser praise ,2
Child labour scorecard,"This website by German NGO Earth Link rates companies on their corporate policies against child labour, production monitoring and accusations of child labour. This company received at least one green mark, and no red marks, indicating good performance in one or more of these areas.
[Source 2013][More on Human Rights]",Adidas,Social, lesser praise ,2
Bangladesh Safety Accord signatory,"This company has signed the 'Accord on Fire and Building Safety in Bangladesh', a program endorsed by Bangladeshi and international unions and labor rights organizations. The ground-breaking program includes independent safety inspections with public reports, mandatory factory building renovations, the obligation by brands and retailers to underwrite the cost of repairs, and a vital role for workers and their unions  all in a legally-binding, enforceable agreement.
[Source 2014][More on Human Rights]",Adidas,Social, lesser praise ,2
FLA Accredited,"When joining the Fair Labor Association (FLA) this company committed to promoting and complying with international labor standards throughout their supply chain. The FLA does not accredit the company itself; rather, they accredit the company's labor compliance program. Being granted accreditation implies that their workplace standards program is substantially in compliance with the FLA Code.
[Source 2016][More on Workers Rights]",Adidas,Social, lesser praise ,2
Uzbek cotton commitment,"This company has signed the Cotton Pledge with the Responsible Sourcing Network, signifying a public commitment to not use Uzbekistani cotton. (Uzbekistan is the world's fifth largest exporter of cotton and has for decades been criticised for using the forced labour of its schoolchildren to harvest that cotton by hand under appalling conditions. This practice is organised and controlled by the central government).
[Source 2016][More on Human Rights]",Adidas,Social, lesser praise ,2
69/100 in Fashion Transparency Index,"The 2016 Fashion Transparency Index looks at how much brands know about their supply chains, what kind of policies they have in place and importantly, how much information they share with the public about their practices and products. This company scored 69%, signifying it is doing a bit more than the others when it comes to having policies and commitments in place and auditing and reporting activities, but could be doing more.
[Source 2016][More on Sustainability Reporting]",Adidas,Business Ethics, lesser praise ,2
Global 100,"The Global 100 Most Sustainable Corporations in the World list is an extensive data-driven corporate sustainability assessment. The ranked companies are leaders in the field of a sustainable business approach. The efficiency of a company's energy, water, CO2 and waste management is measured in relation to its total sales volume. The disclosure of that information is a pre-condition for the assessment. This company ranked #5 in the 2016 Global 100.
[Source 2016][More on Sustainability Reporting]",Adidas,Business Ethics, lesser praise ,2
Workers rights in Indonesia,"A 2012 investigation by The Independent reveals workers at nine Indonesian factories contracted to produce Olympic shoes and clothing for Adidas are working up to 65-hour weeks and earning as little as 53 cents an hour. None of the nine factories pays its employees a living wage.
[Source 2012][More on Workers Rights]",Adidas,Social, Criticism,2
Workers rights,"Playfair 2012, a coalition of trade unions and campaigning organisations, says this company is not doing enough to: ensure all workers are paid a living wage; allow workers to bargain collectively; eliminate short term contracts; and build long-term relationships with supplier factories.
[Source 2012][More on Workers Rights]",Adidas,Social, Criticism,2
Sweatshops in Bangladesh,"This 2012 report by War on Want presents a detailed picture of the conditions faced by workers in Bangladesh, mostly women, who produce the sportswear sold by leading brands Adidas, Nike and Puma. Abuses include paying workers below the legal minimum wage in Bangladesh, excessive hours, sexual harassment and beatings. On average workers were paid just 16p an hour, with two thirds of the workers working over 60 hours a week, in clear breach of Bangladeshi law.
[Source 2012][More on Workers Rights]",Adidas,Social, Criticism,2
Workers rights in China,"This 2014 report by the Workers Rights Consortium investigates workers' rights violations at Yue Yuen, the manufacturing arm of the largest producer of branded athletic shoes in the world, and supplier to many major footwear brands, including brands owned by this company. Violations include illegal underpayment, unpaid overtime, restricting freedom to organise, and failure to provide valid employment contracts. 
[Source 2014][More on Workers Rights]",Adidas,Social, Criticism,2
Workers rights in Cambodia,"This company is one of the top 5 companies sourcing from Cambodia, where the minimum wage is just 21% of what Asia Floor Wage calculate to be a living wage for the country. Cambodia's garment workers endure excessive overtime, low wages, malnourishment (sometimes leading to mass fainting), violence and intimidation.
[Source 2014][More on Workers Rights]",Adidas,Social, Criticism,2
'D' rating at rankabrand.org,"Rank a Brand searches the websites of brands for the answers to carefully targeted questions. From this they calculate sustainability scores based on the themes of environment, climate, labor issues, and transparency. Brands owned by this company received a 'D'.
[Source 2015][More on Sustainability Reporting]",Adidas,Business Ethics, lesser criticism,2
Water pollution in Indonesia,"According to Greenpeace's 2013 report ""Toxic Threads: a story of big brands and water pollution in Indonesia"", this company had a business relationship in the recent past with PT Gistex Group, the company responsible for discharging a wide range of hazardous substances directly into the Citarum River in Indonesia.
[Source 2013][More on Habitats]",Adidas,Environment, minor criticism,2
"Sweatshops in Indonesia, Sri Lanka and the Philippines","This 2011 report by the International Textile Garment and Leather Workers' Federation (ITGLWF) examined working conditions in 83 factories in Indonesia, Sri Lanka and the Philippines. Investigations found that widespread violations and abuses of workers' rights continue to be the norm, such as underpaying workers, long hours, forced overtime, and repression of the freedom of association. This company's brands were found to be made in one or more of the 83 factories covered in the research. [Listed under Information due to age of report]
[Source 2011][More on Workers rights]",Adidas,Social, minor criticism,2
Child labour,"New research (2010) into soccer ball stitching for sports giants Adidas, Umbro, and Nike has found alarming reports of illegally low pay, child labour, and temporary contracts leaving workers vulnerable.  [Listed under Information due to age of report]
[Source 2010][More on Workers Rights]",Adidas,Social, minor criticism,2
Ocean plastic sportswear,"Adidas is working with Parley to turn ocean plastic pollution into sportswear such as Ultraboost running shoes and football jerseys. Adidas has committed to creating 1 million pairs of Ultraboost shoes by the end of 2017.
[Source 2016][More on Oceans]",Adidas,Environment, minor praise,2
bluesign member,"The bluesign® Standard sets ""best practices"" for the use of chemicals and resources  including water and energy  in the textile industry. Textile manufacturers who are bluesign system partners agree to establish management systems to improve environmental performance in five key areas of the production process: resource productivity, consumer safety, water emissions, air emissions, and occupational health and safety. They regularly report their progress, are subject to on-site audits, and must meet improvement goals to maintain their status.
[Source 2016][More on Habitats]",Adidas,Environment, minor praise,2
Detox commitment,"Greenpeace launched its ""Detox My Fashion"" campaign in 2011 to expose the direct links between global clothing brands, their suppliers and toxic water pollution around the world. As a result, many companies, including this one, committed to Greenpeace's Detox Program. The 2016 Detox Catwalk report focused on implementation, assessing the steps taken by fashion brands to fulfil their commitments using three criteria: Detox 2020 plan, PFC elimination and Transparency. This company is ""committed to Detox and has made progress implementing its plans, but its actions need to evolve faster to achieve the 2020 Detox goal"".
[Source 2016][More on Habitats]",Adidas,Environment, minor praise,2
Zero discharge of hazardous chemicals ,"In 2011, a group of major apparel and footwear brands and retailers, including this company, made a shared commitment to help lead the industry towards zero discharge of hazardous chemicals by 2020. It includes specific commitments and timelines to realize this shared goal.
[Source 2017][More on Habitats]",Adidas,Environment, minor praise,2
Action on Darfur,"Identified in 'The Big Chill: Too Scared to Speak' report which identified Chinese Olympic Sponsors response to Darfur crisis in Sudan. Received a B+ for writing the UN and allowing those letters to be made public, among other actions.
[Source 2008][More on Human Rights]",Adidas,Social, minor praise,2
Angora ban,"This company has taken angora items off the shelves and promised not to use angora again, following a PETA campaign launched in Dec 2013 which revealed the cruelty inflicted on angora rabbits in Chinese factory farms, where 90% of the world's angora is produced.
[Source 2017][More on Animal Rights]",Adidas,Animals, minor praise,2
Sustainable Apparel Coalition member,"This company is a founding member of the Sustainable Apparel Coalition, a multi-stakeholder initiative launched in March 2011 by a group of global apparel and footwear companies and non-profit organizations (representing nearly one third of the global market share for apparel and footwear). The Coalition's goals are to reduce the apparel industry's environmental and social impact, and to develop a universal index to measure environmental and social performance of apparel products. 
[Source 2015][More on Multi-Stakeholder Initiatives]",Adidas,Business Ethics, minor praise,2
Contract Factory Disclosure List,"This list was given to the International Textile, Garment and Leather Workers Federation during their campaign to force multinational buyers to disclose their suppliers to the public. Since 2005 a steady stream of brands have been releasing details of their supplier factories.
[Source 2010][More on Governance]",Adidas,Business Ethics, minor praise,2
Better Cotton Initiative member,"This company is a member of the Better Cotton Initiative, a voluntary initiative which encourages the adoption of better management practices in cotton cultivation to achieve measurable reductions in key environmental impacts, while improving social and economic benefits for cotton farmers, small and large, worldwide.
[Source 2016][More on Multi-Stakeholder Initiatives]",Adidas,Business Ethics, minor praise,2
Textile Exchange member,"Textile Exchange (formerly known as Organic Exchange) is a US-based non-profit organization which operates internationally and is committed to the responsible expansion of textile sustainability across the global textile value chain, with a special focus on organic cotton.
[Source 2013][More on Multi-Stakeholder Initiatives]",Adidas,Business Ethics, minor praise,2
I:Collect partner,"This company is a partner of I:Collect (aka I:CO), a global collection network to keep discarded clothing and shoes out of landfills. Customers deposit used textiles into recycling dropoff boxes at this company's stores, and I:CO arranges their environmentally-friendly removal, sorting and reuse.
[Source 2014][More on Governance]",Adidas,Business Ethics, minor praise,2
Leather Working Group member,"This company is a member of the Leather Working Group, a multi-stakeholder group who's objective is to develop and maintain a protocol that assesses the compliance and environmental performance of tanners and promotes sustainable and appropriate environmental business practices within the leather industry.
[Source 2016][More on Multi-Stakeholder Initiatives]",Adidas,Business Ethics, minor praise,2
Workers rights improve in China,"This 2010 investigative report by China Labour Watch reveals that conditions in factories supplying Adidas improved considerably in 2009. In one factory 26 out of the 28 issues CLW pointed out in 2008 saw improvement. The remaining issues are illegally long working hours and the problem of worker suicides. CLW says that while these improvements are satisfactory, it must be noted that the problems had existed for more than ten years. It is also noted that working conditions in factories not under NGO or media scrutiny are likely to still be poor.
[Source 2010][More on Workers Rights]",Adidas,Social, information,2
Efforts to pay a living wage,"This company mentions work on living wages, but their solutions are unconvincing so far, according to this 2014 report by the Clean Clothes Campaign which grades companies on their efforts to ensure workers in its supply chain receive a living wage. 
[Source 2014][More on Workers Rights]",Adidas,Social, information,2
Kangaroo skin boots,"Adidas was the target of a long running boycott call from animal rights campaigners Viva! for its use of kangaroo skin to make some types of football boots. However in September 2012 Adidas announced it would phase out the use of kangaroo leather by 98% over the following 12 months.
[Source 2012][More on Animal Rights]",Adidas,Animals, information,2
Political boycott,"Call to boycott by BDS due to involvement in Israel. [This assessment has not been used in calculation of ratings].
[Source 2012][More on Politics]",Adidas,Business Ethics, information,2
Responsible Shopper profile,"Green America's Responsible Shopper provides details about the corporate responsibility records of well-known companies. Follow the link to see this company's profile. [Last updated 2009]
[Source 2009]",Adidas,Information,,2
Project JUST profile,"Project JUST examines the manufacturing practices and ethics of fashion brands. Follow the link to see this company's profile.
[Source 2016]",Adidas,Information,,2
Facing Finance profile,"This company is listed on the Facing Finance website as a company that manufactures weapons or profits from violations of human rights, pollution, corruption, or international law. Follow link for further details.
[Source 2014]",Adidas,Information,,2
Play Fair company profile,"This 2008 report compares eight sportswear companies on their labour rights practices.
[Source 2008]",Adidas,Information,,2
Efforts to pay a living wage,"This company is doing little or nothing to ensure workers are paid enough to live on, according to this 2014 report by the Clean Clothes Campaign which grades companies on their efforts to ensure workers in its supply chain receive a living wage. 
[Source 2014][More on Workers Rights]",Alexander McQueen,Social, Criticism,3
Nanoparticles in cosmetics,"Testing commissioned by Friends of the Earth Australia found nanoparticles in foundations and concealers sold by Gucci.
[Source 2009][More on Product Safety]",Alexander McQueen,Social, lesser criticism,3
Use of fur,"Several of this company's brands use fur in their designs including YSL, Gucci and Alexander McQueen.
[Source 2015][More on Animal Rights]",Alexander McQueen,Animals, Criticism,3
36/100 in Fashion Transparency Index,"The 2016 Fashion Transparency Index looks at how much brands know about their supply chains, what kind of policies they have in place and importantly, how much information they share with the public about their practices and products. This company scored 36%, signifying it makes some efforts to manage and improve their supply chains but make little supply chain information publicly available. This company still has a long way to go towards supply chain transparency.
[Source 2016][More on Sustainability Reporting]",Alexander McQueen,Business Ethics, lesser criticism,3
'D' rating at rankabrand.org,"Rank a Brand searches the websites of brands for the answers to carefully targeted questions. From this they calculate sustainability scores based on the themes of environment, climate, labor issues, and transparency. Brands owned by this company received a 'D'.
[Source 2017][More on Sustainability Reporting]",Alexander McQueen,Business Ethics, lesser criticism,3
Paper policy,"Following a campaign by the Rainforest Action Network in 2009, this company pledged to take concrete action to clean their supply chains of rainforest paper and sever relationships with companies (like Asia Pulp and Paper) who continue to destroy high conservation and endangered forests in Indonesia and elsewhere.
[Source 2010][More on Forests]",Alexander McQueen,Environment, minor praise,3
Trust Mark approved brands,"This company owns brands which have been awarded Positive Luxury's Trust Mark. To be accredited brands are assessed in the following areas: philanthropy, environmental, social, innovation, community and governance.
[Source 2015][More on Eco-Certification]",Alexander McQueen,Environment, minor praise,3
Sandblasting,"This company has publicly banned sandblasting. Sandblasting is a dangerous and deadly process which involves workers firing sand at jeans under high pressure. It has been known to kill workers within months as the inhalation of large amounts of silica dust generated during sandblasting causes silicosis, a potentially lethal pulmonary disease.
[Source 2012][More on Workers Rights]",Alexander McQueen,Social, minor praise,3
SAI member,"Social Accountability International (SAI) is a non-profit, multi-stakeholder organisation established to advance the human rights of workers by promoting decent work conditions, labor rights, and corporate social responsibility through the voluntary SA8000 Standard.
[Source 2014][More on Multi-Stakeholder Initiatives]",Alexander McQueen,Social, minor praise,3
Responsible Jewellery Council member,"This company's Gucci and Bottega Veneta subsidiaries are certified members of the Responsible Jewellery Council (RJC).  Certification under the RJC system demonstrates that the Member's business practices conform to RJC's Code of Practices for business ethics, human rights, social and environmental performance.
[Source 2013][More on Multi-Stakeholder Initiatives]",Alexander McQueen,Business Ethics, minor praise,3
SB 657 disclosure statement,"The California Transparency in Supply Chains Act of 2010 (SB 657) requires companies operating in California to disclose their efforts to eradicate slavery and human trafficking from their direct supply chains. Follow the link to see this company's disclosure statement.
[Source 2012][More on Workers Rights]",Alexander McQueen,Social, information,3
Skin Deep profile,"Skin Deep is an online safety guide to cosmetics and personal care products and their potential hazards and health concerns, with over 69,000 products rated from 1 (low hazard) to 10 (high hazard).
[Source 2016][More on Product Safety]",Alexander McQueen,Social, information,3
Cotton sourcing (As You Sow),"Responsible Sourcing Network's 2014 report Cotton Sourcing Snapshot: A Survey of Corporate Practices to End Forced Labor includes survey results and ratings of 49 companies reflecting actions they are taking to stop cotton from Uzbekistan picked with forced labor from entering their supply chains. The survey offered a maximum of 100 points across 11 indicators in the categories of Policy, Public Disclosure, Engagement, and Implementation & Auditing. Only five companies scored over 50 points, 19 companies (including this company) scored under 25 points, and two companies scored zero. *UPDATE* This company improved its score to over 50 in 2015.
[Source 2015][More on Human Rights]",Alexander McQueen,Social, Praise,3
RobecoSAM Industry Leader 2016,"This company was awarded the 'Industry Leader' in the 'Textiles, Apparel & Luxury Goods' category of the 2016 RobecoSAM  Sustainability Yearbook. The index is based on an analysis of corporate economic, environmental and social performance, assessing issues such as corporate governance, risk management, branding, climate change mitigation, supply chain standards and labor practices.
[Source 2016][More on Sustainability Reporting]",Alexander McQueen,Business Ethics, Praise,3
Commitment to zero deforestation 4/5,"The Forest 500 identifies, ranks, and tracks the governments, companies and financial institutions worldwide that together could virtually eradicate tropical deforestation. Rankings are based on their public policies and commitments and potential impacts on tropical forests in the context of forest risk commodities (palm oil, soya, beef, leather, timber, and pulp and paper). This company received a score of 4/5.
[Source 2016][More on Forests]",Alexander McQueen,Environment, lesser praise ,3
Uzbek cotton commitment,"This company has signed the Cotton Pledge with the Responsible Sourcing Network, signifying a public commitment to not use Uzbekistani cotton. (Uzbekistan is the world's fifth largest exporter of cotton and has for decades been criticised for using the forced labour of its schoolchildren to harvest that cotton by hand under appalling conditions. This practice is organised and controlled by the central government).
[Source 2016][More on Human Rights]",Alexander McQueen,Social, lesser praise ,3
Global 100,"The Global 100 Most Sustainable Corporations in the World list is an extensive data-driven corporate sustainability assessment. The ranked companies are leaders in the field of a sustainable business approach. The efficiency of a company's energy, water, CO2 and waste management is measured in relation to its total sales volume. The disclosure of that information is a pre-condition for the assessment. This company ranked #43 in the 2016 Global 100.
[Source 2016][More on Sustainability Reporting]",Alexander McQueen,Business Ethics, lesser praise ,3
62.0% in Newsweek Green Rankings 2015,"This company received a score of 62/100 in the Newsweek Green Rankings 2015, which ranks the world's largest publicly traded companies on eight indicators covering energy, greenhouse gases, water, waste, fines and penalties, linking executive pay to sustainability targets, board-level committee oversight of environmental issues and third-party audits. Ranking methodology by Corporate Knights and HIP Investor.
[Source 2015][More on Sustainability Reporting]",Alexander McQueen,Business Ethics, lesser praise ,3
Cotton sourcing (Rank a Brand),"In 2016 Rank a Brand assessed 37 major cotton-using companies on their commitment and performance with regard to sustainable cotton by looking at each company's cotton sourcing policies, use of sustainable cotton, and traceability. This company scored 3/19.5, making it one of the weaker performing companies.
[Source 2016][More on Human Rights]",Alexander McQueen,Social, lesser criticism,3
27/100 in KnowTheChain Benchmark,"In 2016 KnowTheChain benchmarked 60 large global companies in the ICT, Food & Beverage, and Apparel & Footwear sectors on their efforts to address forced labour and human trafficking in their supply chains. This company received a score of 27/100.
[Source 2016][More on Workers Rights]",Alexander McQueen,Social, lesser criticism,3
Human Rights Benchmark,"The 2017 Corporate Human Rights Benchmark assessed 98 of the largest publicly traded companies in the world from the Agricultural Products, Apparel and Extractives sectors on 100 human rights indicators. This company's score was in the 20-29 band range.  The overall average score was 28.7%.
[Source 2017][More on Human Rights]",Alexander McQueen,Social, lesser criticism,3
Hunting equipment sales,"Kering subsidiary Redcats owns The Sportsman's Guide, an online store which sells hunting equipment including guns.
[Source 2012][More on Animal Rights]",Alexander McQueen,Animals, minor criticism,3
'D' grade  in WWF Deeper Luxury report,"In 2007 WWF-UK analysed and ranked the 10 largest publicly-traded luxury brand-owners on their environmental, social and governance (ESG) performance. (Listed under information due to age of report)
[Source 2007][More on Governance]",Alexander McQueen,Business Ethics, minor criticism,3
Zero discharge of hazardous chemicals ,"In 2011, a group of major apparel and footwear brands and retailers, including this company, made a shared commitment to help lead the industry towards zero discharge of hazardous chemicals by 2020. It includes specific commitments and timelines to realize this shared goal.
[Source 2017][More on Habitats]",Alexander McQueen,Environment, minor praise,3
